Poll,Date,Kerry (D),Bush (R)
MaristMarist,11/1 - 11/1,47.8,49.42
GW/BattlegroundGW/Battleground,10/31 - 11/1,47.4,48.82
IBD/TIPPIBD/TIPP,10/30 - 11/1,47.6,48.42
CBS NewsCBS News,10/29 - 11/1,47.8,48.2
HarrisHarris,10/29 - 11/1,47.8,48
FOX NewsFOX News,10/30 - 10/31,47.8,48
Reuters/ZogbyReuters/Zogby,10/29 - 10/31,47.8,48.4
CNN/USA Today/GallupCNN/USA Today/Gallup,10/29 - 10/31,47.6,48.6
NBC/WSJNBC/WSJ,10/29 - 10/31,47.4,49
ABC/Wash PostABC/Wash Post,10/28 - 10/31,46.8,49.4
ARGARG,10/28 - 10/30,46.4,49.8
CBS News/NY TimesCBS News/NY Times,10/28 - 10/30,45.8,49.8
Pew ResearchPew Research,10/27 - 10/30,45.8,50.2
NewsweekNewsweek,10/27 - 10/29,45.8,49.6
GW/BattlegroundGW/Battleground,10/25 - 10/28,46.2,49.2
ICRICR,10/22 - 10/26,46.2,49.2
CNN/USA Today/GallupCNN/USA Today/Gallup,10/22 - 10/24,46.2,49.4
LA TimesLA Times,10/21 - 10/24,46.8,48.4
NewsweekNewsweek,10/21 - 10/22,46.8,48.6
TimeTime,10/19 - 10/21,46,48.8
GW/BattlegroundGW/Battleground,10/18 - 10/21,46.2,48
AP-IpsosAP-Ipsos,10/18 - 10/20,46.4,48.4
MaristMarist,10/17 - 10/19,46.2,48.8
FOX NewsFOX News,10/17 - 10/18,45.5,48.9
Pew ResearchPew Research,10/15 - 10/19,46.1,48.5
ABC/Wash PostABC/Wash Post,10/16 - 10/18,45.5,49.5
NBC/WSJNBC/WSJ,10/16 - 10/18,45.7,48.9
HarrisHarris,10/14 - 10/17,44.9,49.3
CBS News/NY TimesCBS News/NY Times,10/14 - 10/17,45.2,49.2
CNN/USA Today/GallupCNN/USA Today/Gallup,10/14 - 10/16,45.8,49.4
TimeTime,10/14 - 10/15,46,48
NewsweekNewsweek,10/14 - 10/15,45.6,48
GW/BattlegroundGW/Battleground,10/11 - 10/14,45.4,47.6
ABC/Wash PostABC/Wash Post,10/11 - 10/13,46,47.4
ZogbyZogby,10/9 - 10/11,45.4,47
CBS NewsCBS News,10/9 - 10/11,45.6,47.8
ICRICR,10/9 - 10/11,46.6,47.4
CNN/USA Today/GallupCNN/USA Today/Gallup,10/9 - 10/10,47.2,47.6
TimeTime,10/6 - 10/7,46.4,47.4
GW/BattlegroundGW/Battleground,10/3 - 10/7,46.4,48.4
AP-IpsosAP-Ipsos,10/4 - 10/6,46.4,47.8
MaristMarist,10/4 - 10/5,45.6,48.8
FOX NewsFOX News,10/3 - 10/4,45.8,48.4
ICRICR,10/1 - 10/5,45.4,48.2
ARGARG,10/2 - 10/4,45.2,47.8
ABC News/Wash PostABC News/Wash Post,10/1 - 10/3,45.8,48.4
CBS News/NY TimesCBS News/NY Times,10/1 - 10/3,46,47.2
ZogbyZogby,10/1 - 10/3,45.2,47.4
Pew ResearchPew Research,10/1 - 10/3,45.4,48.4
CNN/USA Today/GallupCNN/USA Today/Gallup,10/1 - 10/3,45.6,48.8
NewsweekNewsweek,9/30 - 10/2,44.6,49.4
Sacred Heart UnivSacred Heart Univ,9/27 - 10/2,44.2,49.4
BattlegroundBattleground,9/27 - 9/30,44.6,50
LA TimesLA Times,9/25 - 9/28,43.8,49.4
CNN/USA Today/GallupCNN/USA Today/Gallup,9/24 - 9/26,43.2,48.8
IBD/TIPPIBD/TIPP,9/22 - 9/27,42.8,47.6
ABC News/Wash PostABC News/Wash Post,9/23 - 9/26,42.8,48.6
Pew ResearchPew Research,9/22 - 9/26,42.6,48.4
TimeTime,9/21 - 9/23,43,49
FOX NewsFOX News,9/21 - 9/22,43.6,49.8
BattlegroundBattleground,9/20 - 9/23,43.6,49.6
MaristMarist,9/20 - 9/22,43.8,49.6
CBS NewsCBS News,9/20 - 9/22,43.6,48.8
AP-IpsosAP-Ipsos,9/20 - 9/22,43.6,47.6
Pew ResearchPew Research,9/17 - 9/21,43.8,46.6
NBC/WSJNBC/WSJ,9/17 - 9/19,43.6,47.6
ZogbyZogby,9/17 - 9/19,42.4,48.4
IBD/TIPPIBD/TIPP,9/14 - 9/18,42.8,49
ARGARG,9/7 - 9/21,43.6,49.4
CBS NewsCBS News,9/12 - 9/16,44,49.4
CNN/USA Today/GallupCNN/USA Today/Gallup,9/13 - 9/15,44.4,49.2
BattlegroundBattleground,9/12 - 9/15,45.6,47.6
Pew ResearchPew Research,9/11 - 9/14,45,47
HarrisHarris,9/9 - 9/13,44,48
NewsweekNewsweek,9/9 - 9/10,43.6,48.8
IBD/TIPPIBD/TIPP,9/7 - 9/12,43.6,48.4
ZogbyZogby,9/8 - 9/9,43,49.6
TimeTime,9/7 - 9/9,42.2,51.2
AP-IpsosAP-Ipsos,9/7 - 9/9,42.4,50.6
FOX NewsFOX News,9/7 - 9/8,42.2,50.8
ABC News/Wash PostABC News/Wash Post,9/6 - 9/8,41.8,51.8
Pew ResearchPew Research,9/8 - 9/10,41.4,51.8
CBS NewsCBS News,9/6 - 9/8,42.4,50.2
CNN/USA Today/GallupCNN/USA Today/Gallup,9/3 - 9/5,43.4,49.8
NewsweekNewsweek,9/2 - 9/3,44,49
TimeTime,8/31 - 9/2,44.6,47.8
ZogbyZogby,8/30 - 9/2,45.2,46
ARGARG,8/30 - 9/1,45.8,46.4
ABC News/Wash PostABC News/Wash Post,8/26 - 8/29,45.4,46.4
TimeTime,8/24 - 8/26,45.2,45.4
FOX NewsFOX News,8/24 - 8/25,45.2,45.6
CNN/USA Today/GallupCNN/USA Today/Gallup,8/23 - 8/25,45,45.6
NBC/WSJNBC/WSJ,8/23 - 8/25,44.6,44.6
NPR - POS/GQRNPR - POS/GQR,8/21 - 8/24,44.8,44.2
LA TimesLA Times,8/21 - 8/24,44.8,45
IBD/TIPPIBD/TIPP,8/17 - 8/23,45.4,44.2
BattlegroundBattleground,8/15 - 8/17,46,45.2
CBS NewsCBS News,8/15 - 8/18,46.6,45.6
HarrisHarris,8/10 - 8/15,47,45.2
ZogbyZogby,8/12 - 8/14,47.2,44.8
GallupGallup,8/9 - 8/11,47.6,45
Pew ResearchPew Research,8/5 - 8/10,47.4,43.8
TimeTime,8/3 - 8/5,47.4,43.4
AP-IpsosAP-Ipsos,8/3 - 8/5,47.2,44.2
Democracy Corps (D)Democracy Corps (D),8/2 - 8/5,47.2,43.8
IBD/TIPPIBD/TIPP,8/2 - 8/5,46.4,45.2
FOX NewsFOX News,8/3 - 8/4,47.2,46.2
MaristMarist,7/30 - 8/2,47.6,46.6
CBS NewsCBS News,7/31 - 8/1,48,45.6
CNN/USA Today/GallupCNN/USA Today/Gallup,7/30 - 8/1,47.6,46.6
ABC News/Wash PostABC News/Wash Post,7/30 - 8/1,47.4,44.8
ARGARG,7/30 - 8/1,46.8,44
NewsweekNewsweek,7/29 - 7/30,45.8,43.6
ABC News/Wash PostABC News/Wash Post,7/22 - 7/25,44.8,43.8
IBD/TIPPIBD/TIPP,7/19 - 7/24,44.6,43.6
TimeTime,7/20 - 7/22,45.2,44.4
QuinnipiacQuinnipiac,7/18 - 7/22,45.2,44.6
FOX NewsFOX News,7/20 - 7/21,45.6,44.8
NBC/WSJNBC/WSJ,7/19 - 7/21,45.2,44.2
CNN/USA Today/GallupCNN/USA Today/Gallup,7/19 - 7/21,45.2,43.6
LA TimesLA Times,7/17 - 7/21,44.8,42.8
Pew ResearchPew Research,7/8 - 7/18,45.2,43
IBD/TIPPIBD/TIPP,7/12 - 7/17,45.2,43.4
MaristMarist,7/12 - 7/15,46.8,44.4
CBS News/NY TimesCBS News/NY Times,7/11 - 7/15,47.2,44.2
Democracy Corps (D)Democracy Corps (D),7/10 - 7/13,47.6,44.6
ABC News/Wash PostABC News/Wash Post,7/8 - 7/11,47.4,44.6
CNN/USA Today/GallupCNN/USA Today/Gallup,7/8 - 7/11,47.6,44.4
IBD/TIPPIBD/TIPP,7/6 - 7/10,46.6,45.2
NewsweekNewsweek,7/8 - 7/9,47,44.8
TimeTime,7/6 - 7/8,47,44.8
ZogbyZogby,7/6 - 7/7,46.4,44.8
AP-IpsosAP-Ipsos,7/5 - 7/7,45.4,44.4
NBC/WSJNBC/WSJ,7/6 - 7/6,44.4,44
ARGARG,7/1 - 7/3,44,45.4
NBC/WSJNBC/WSJ,6/25 - 6/28,42.8,45.2
CBS News/NY TimesCBS News/NY Times,6/23 - 6/27,42.8,45.2
FOX NewsFOX News,6/22 - 6/23,44,45.4
CNN/USA Today/GallupCNN/USA Today/Gallup,6/21 - 6/23,44.2,44.8
BattlegroundBattleground,6/20 - 6/23,43,45.4
GallupGallup,6/9 - 6/30,42.8,45.4
ABC News/Wash PostABC News/Wash Post,6/17 - 6/20,42.4,45.6
IBD/TIPPIBD/TIPP,6/14 - 6/19,41.8,46
HarrisHarris,6/8 - 6/15,42,45.6
IBD/TIPPIBD/TIPP,6/8 - 6/13,43.4,43.8
Pew ResearchPew Research,6/3 - 6/13,45.4,44
AP-IpsosAP-Ipsos,6/7 - 6/9,45.2,43.4
FOX NewsFOX News,6/8 - 6/9,45,42.6
LA TimesLA Times,6/5 - 6/8,45.8,43.2
GallupGallup,6/3 - 6/6,44.6,43.4
IBD/TIPPIBD/TIPP,6/1 - 6/6,44,43.8
ZogbyZogby,6/2 - 6/5,44.4,43.8
ARGARG,6/1 - 6/3,44.8,44.6
QuinnipiacQuinnipiac,5/18 - 5/24,45,43.8
CNN/USA Today/GallupCNN/USA Today/Gallup,5/21 - 5/23,44.6,43.2
InsiderAdvantageInsiderAdvantage,5/21 - 5/22,43.4,42.4
ABC News/Wash PostABC News/Wash Post,5/20 - 5/23,43.4,42.2
CBS NewsCBS News,5/20 - 5/23,43.4,42
FOX NewsFOX News,5/18 - 5/19,43.4,42.2
IBD/TIPPIBD/TIPP,5/12 - 5/18,45.2,43
NewsweekNewsweek,5/13 - 5/14,46,44
Democracy Corps (D)Democracy Corps (D),5/10 - 5/13,46.6,44.2
ZogbyZogby,5/10 - 5/13,45.6,44.2
CNNCNN,5/12 - 5/13,45.2,44.6
CNN/USA Today/GallupCNN/USA Today/Gallup,5/7 - 5/9,43.6,45
Pew ResearchPew Research,5/3 - 5/9,43.2,44.8
Ayres McHenryAyres McHenry,5/3 - 5/6,43.4,45.6
ARGARG,5/3 - 5/3,43.6,45.8
IBD/TIPPIBD/TIPP,5/2 - 5/8,42.6,45.6
AP-IpsosAP-Ipsos,5/3 - 5/5,43.6,46.8
CNN/USA Today/GallupCNN/USA Today/Gallup,5/2 - 5/4,43.2,46.2
NBC/WSJNBC/WSJ,5/1 - 5/3,42.4,46.2
QuinnipiacQuinnipiac,4/26 - 5/3,42,45.4
Sacred Heart UnivSacred Heart Univ,4/26 - 5/1,42.8,46.2
CBS News/NY TimesCBS News/NY Times,4/23 - 4/27,41.6,44.6
MaristMarist,4/20 - 4/23,42.2,46
FOX NewsFOX News,4/21 - 4/22,42.2,46.2
Democracy Corps (D)Democracy Corps (D),4/19 - 4/22,43.26,46.74
IBD/TIPPIBD/TIPP,4/14 - 4/19,43.06,46.54
CNN/USA Today/GallupCNN/USA Today/Gallup,4/16 - 4/18,43.66,45.14
ABC News/Wash PostABC News/Wash Post,4/15 - 4/18,44.06,43.54
ZogbyZogby,4/15 - 4/17,45.06,42.54
HarrisHarris,4/8 - 4/15,44.6,43
InsiderAdvantageInsiderAdvantage,4/12 - 4/14,44.4,42.4
NewsweekNewsweek,4/8 - 4/9,44.6,44
ARGARG,4/6 - 4/9,44.4,44.8
CNN/USA Today/GallupCNN/USA Today/Gallup,4/5 - 4/8,44.4,44.8
FOX NewsFOX News,4/6 - 4/7,44.8,44
AP-IpsosAP-Ipsos,4/5 - 4/7,44.2,44
ZogbyZogby,4/1 - 4/4,44.8,43.8
CBS NewsCBS News,3/30 - 4/1,44.8,44.4
IBD/TIPPIBD/TIPP,3/29 - 4/3,43.8,44.6
BattlegroundBattleground,3/28 - 3/31,43.4,45
LA TimesLA Times,3/27 - 3/30,44,45
CNN/USA Today/GallupCNN/USA Today/Gallup,3/26 - 3/28,42.6,45.4
Pew ResearchPew Research,3/22 - 3/28,42.2,44.8
NewsweekNewsweek,3/25 - 3/26,43,46
FOX NewsFOX News,3/23 - 3/24,42.6,46.2
QuinnipiacQuinnipiac,3/16 - 3/22,43.4,46.8
AP-IpsosAP-Ipsos,3/19 - 3/21,44,46.6
Democracy Corps (D)Democracy Corps (D),3/16 - 3/21,43,46.6
InsiderAdvantageInsiderAdvantage,3/18 - 3/19,43.2,45
ZogbyZogby,3/17 - 3/19,43,44.8
NewsweekNewsweek,3/18 - 3/19,42.4,44.6
CBS News/NY TimesCBS News/NY Times,3/10 - 3/14,43.8,44.4
ARGARG,3/9 - 3/11,45.8,44
IBD/TIPPIBD/TIPP,3/8 - 3/11,45,43.8
NBC/WSJNBC/WSJ,3/6 - 3/8,45.8,43.6
CNN/USA Today/GallupCNN/USA Today/Gallup,3/5 - 3/7,46.2,43.8
ABC News/Wash PostABC News/Wash Post,3/4 - 3/7,45.2,44.4
IBD/TIPPIBD/TIPP,3/1 - 3/7,45.2,44.4
FOX NewsFOX News,3/3 - 3/4,45.8,45.4
AP-IpsosAP-Ipsos,3/1 - 3/3,46.6,45.6
NPRNPR,2/26 - 9/25,46.6,45.4
Pew ResearchPew Research,2/24 - 2/29,47.2,45.2
CBS NewsCBS News,2/24 - 2/27,48.6,45
NewsweekNewsweek,2/19 - 2/20,47.8,45.4
FOX NewsFOX News,2/18 - 2/19,47.4,45.4
ARGARG,2/17 - 2/19,47.8,45.8
CNN/USA Today/GallupCNN/USA Today/Gallup,2/16 - 2/17,47.8,45.2
RasmussenRasmussen,2/15 - 2/17,47.2,45.2
Univ. of ConnecticutUniv. of Connecticut,2/12 - 2/16,47.6,44.8
Pew ResearchPew Research,2/11 - 2/16,48,45.6
CBS NewsCBS News,2/12 - 2/15,48.2,46.2
ABC News/Wash PostABC News/Wash Post,2/10 - 2/11,48.6,46.6
RasmussenRasmussen,2/8 - 2/10,46.8,47.4
CNN/USA Today/GallupCNN/USA Today/Gallup,2/6 - 2/8,48.4,47.4
TimeTime,2/5 - 2/6,48,46.2
NewsweekNewsweek,2/5 - 2/6,48.6,44.8
FOX NewsFOX News,2/4 - 2/5,48.25,44.75
CNN/USA Today/GallupCNN/USA Today/Gallup,1/29 - 2/1,50,44
RasmussenRasmussen,1/29 - 1/31,48.5,43
QuinnipiacQuinnipiac,1/28 - 1/31,51,43
